	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_hits	vogdb_id	vogdb_categories	vogdb_hit	heme_regulatory_motif_count	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	virsorter_category	auxiliary_score	is_transposon	amg_flags
host__NZ_CP026901_1_Bordetella_pertussis_strain_J628_chromosome__complete_genome_706127_4107705_0_3401578_1148273_1152572_140__full-cat_2_2	host__NZ_CP026901_1_Bordetella_pertussis_strain_J628_chromosome__complete_genome_706127_4107705_0_3401578_1148273_1152572_140__full-cat_2	host__NZ_CP026901_1_Bordetella_pertussis_strain_J628_chromosome__complete_genome_706127_4107705_0_3401578_1148273_1152572_140__full-cat_2	2	1022	3322	1	A		bper:BN118_1621  uvrD; DNA helicase II (EC:3.6.1.-)	True	0.955	1539.0	0.0	YP_001429750.1	YP_001429750.1 PcrA helicase [Bacillus phage 0305phi8-36]	True	0.368	403.0	2.04e-118	UvrD/REP helicase N-terminal domain [PF00580.21]; UvrD-like helicase C-terminal domain [PF13361.6]; AAA domain [PF13245.6]; UvrD-like helicase C-terminal domain [PF13538.6]		sp|F1ND48|FBH1_CHICK	Xh	sp|F1ND48|FBH1_CHICK F-box DNA helicase 1; Xh	0								1	4	False	TF
host__NZ_CP026901_1_Bordetella_pertussis_strain_J628_chromosome__complete_genome_706127_4107705_0_3401578_1148273_1152572_140__full-cat_2_3	host__NZ_CP026901_1_Bordetella_pertussis_strain_J628_chromosome__complete_genome_706127_4107705_0_3401578_1148273_1152572_140__full-cat_2	host__NZ_CP026901_1_Bordetella_pertussis_strain_J628_chromosome__complete_genome_706127_4107705_0_3401578_1148273_1152572_140__full-cat_2	3	3375	4298	-1	A		bbr:BB2179  hypothetical protein	True	1.0	668.0	3.409e-216												0								2	5	False	TF
host__NZ_CP027533_1_Serratia_marcescens_strain_AR_0091_chromosome__complete_genome_1605322_1838434_0_233112_108840_116558_14__full-cat_1_1	host__NZ_CP027533_1_Serratia_marcescens_strain_AR_0091_chromosome__complete_genome_1605322_1838434_0_233112_108840_116558_14__full-cat_1	host__NZ_CP027533_1_Serratia_marcescens_strain_AR_0091_chromosome__complete_genome_1605322_1838434_0_233112_108840_116558_14__full-cat_1	1	2	673	1	A		smw:SMWW4_v1c20320  pepT; peptidase T	True	0.962	454.0	1.9640000000000002e-143							Peptidase dimerisation domain [PF07687.14]					0	MER0402341	M20B	MER0402341 - peptidase T (Serratia marcescens) [M20.003]#M20B#{peptidase unit: 13-407}~source ZP_23069308~	True	0.97	454.0	1.382e-144	2	5	False	PF
host__NZ_CP027533_1_Serratia_marcescens_strain_AR_0091_chromosome__complete_genome_1605322_1838434_0_233112_108840_116558_14__full-cat_1_2	host__NZ_CP027533_1_Serratia_marcescens_strain_AR_0091_chromosome__complete_genome_1605322_1838434_0_233112_108840_116558_14__full-cat_1	host__NZ_CP027533_1_Serratia_marcescens_strain_AR_0091_chromosome__complete_genome_1605322_1838434_0_233112_108840_116558_14__full-cat_1	2	973	2112	1	A		smw:SMWW4_v1c32420  klebicin C phage associated protein	True	0.776	594.0	6.908e-189	YP_009614899.1	YP_009614899.1 long tail fiber subunit, distal [Shigella phage Sf22]	False	0.238	105.0	8.734e-23	Chaperone of endosialidase [PF13884.6]		sp|B0FIH7|FIB11_BPE32	Xh;Xs	sp|B0FIH7|FIB11_BPE32 Probable tail fiber protein; XhXs	0								0	4	False	VF
host__NZ_CP027533_1_Serratia_marcescens_strain_AR_0091_chromosome__complete_genome_1605322_1838434_0_233112_108840_116558_14__full-cat_1_3	host__NZ_CP027533_1_Serratia_marcescens_strain_AR_0091_chromosome__complete_genome_1605322_1838434_0_233112_108840_116558_14__full-cat_1	host__NZ_CP027533_1_Serratia_marcescens_strain_AR_0091_chromosome__complete_genome_1605322_1838434_0_233112_108840_116558_14__full-cat_1	3	2205	4382	1	A		smw:SMWW4_v1c20340  putative klebicin D activity protein	True	0.683	973.0	2.147e-313							S-type Pyocin [PF06958.12]					0								2	2	False	F
host__NZ_CP027533_1_Serratia_marcescens_strain_AR_0091_chromosome__complete_genome_1605322_1838434_0_233112_108840_116558_14__full-cat_1_4	host__NZ_CP027533_1_Serratia_marcescens_strain_AR_0091_chromosome__complete_genome_1605322_1838434_0_233112_108840_116558_14__full-cat_1	host__NZ_CP027533_1_Serratia_marcescens_strain_AR_0091_chromosome__complete_genome_1605322_1838434_0_233112_108840_116558_14__full-cat_1	4	4379	4651	1	C		smw:SMWW4_v1c20400  hypothetical protein	False	0.99	190.0	9.117e-55												0								2	2	False	F
host__NZ_CP027533_1_Serratia_marcescens_strain_AR_0091_chromosome__complete_genome_1605322_1838434_0_233112_108840_116558_14__full-cat_1_5	host__NZ_CP027533_1_Serratia_marcescens_strain_AR_0091_chromosome__complete_genome_1605322_1838434_0_233112_108840_116558_14__full-cat_1	host__NZ_CP027533_1_Serratia_marcescens_strain_AR_0091_chromosome__complete_genome_1605322_1838434_0_233112_108840_116558_14__full-cat_1	5	4916	6004	1	A		smw:SMWW4_v1c20410  ybiC; putative dehydrogenase	True	0.931	706.0	3.271e-228							Malate/L-lactate dehydrogenase [PF02615.14]					0								2	2	False	F
host__NZ_CP027533_1_Serratia_marcescens_strain_AR_0091_chromosome__complete_genome_1605322_1838434_0_233112_108840_116558_14__full-cat_1_6	host__NZ_CP027533_1_Serratia_marcescens_strain_AR_0091_chromosome__complete_genome_1605322_1838434_0_233112_108840_116558_14__full-cat_1	host__NZ_CP027533_1_Serratia_marcescens_strain_AR_0091_chromosome__complete_genome_1605322_1838434_0_233112_108840_116558_14__full-cat_1	6	6049	7170	-1	A		smw:SMWW4_v1c20420  ycfD; cupin superfamily protein	True	1.0	799.0	3.791e-260							Cupin superfamily protein [PF08007.12]; Cupin-like domain [PF13621.6]					0								2	2	False	F
host__NZ_CP027533_1_Serratia_marcescens_strain_AR_0091_chromosome__complete_genome_1605322_1838434_0_233112_108840_116558_14__full-cat_1_7	host__NZ_CP027533_1_Serratia_marcescens_strain_AR_0091_chromosome__complete_genome_1605322_1838434_0_233112_108840_116558_14__full-cat_1	host__NZ_CP027533_1_Serratia_marcescens_strain_AR_0091_chromosome__complete_genome_1605322_1838434_0_233112_108840_116558_14__full-cat_1	7	7255	7716	-1	C		smw:SMWW4_v1c20430  phoQ; sensor protein PhoQ	False	0.963	312.0	7.89e-96							Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.26]; GHKL domain [PF14501.6]					0								1	5	False	F
host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2_1	host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2	host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2	1	3	1118	-1	C		rsl:RPSI07_2977  phage integrase	False	0.219	91.0	9.565e-17												0								2	5	False	F
host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2_2	host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2	host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2	2	1143	2090	-1	A	K07482	asa:ASA_1564  tnp2; transposase; K07482 transposase, IS30 family	True	0.641	399.0	9.933e-123	NP_061653.1	NP_061653.1 transposase [Staphylococcus prophage phiPV83]	False	0.348	177.0	7.662e-48	Helix-turn-helix domain [PF13936.6]		sp|P37248|TRA8_CUPMC	Xr;Xh	sp|P37248|TRA8_CUPMC Transposase for insertion sequence element IS1086; XhXr	0								1	4	False	VF
host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2_3	host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2	host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2	3	2035	2808	-1	E																		0								2	3	False	F
host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2_4	host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2	host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2	4	2805	4286	-1	C		cnc:CNE_1c04190  integrase/recombinase	False	0.259	113.0	4.222e-23							Phage integrase family [PF00589.22]		sp|O10330|VLF1_NPVOP	Xr	sp|O10330|VLF1_NPVOP Very late expression factor 1; Xr	0								2	3	False	VF
host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2_5	host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2	host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2	5	4309	5502	-1	C		prw:PsycPRwf_1126  phage integrase family protein	False	0.232	112.0	2.338e-23							Phage integrase family [PF00589.22]					0								1	3	False	F
host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2_6	host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2	host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2	6	5663	6241	-1	A		ahy:AHML_20930  single-strand binding protein	True	0.938	380.0	1.865e-118	YP_009043880.1	YP_009043880.1 single-stranded DNA-binding protein [Vibrio phage X29]	False	0.593	219.0	2.462e-64	Single-strand binding protein family [PF00436.25]; Proline-rich [PF15240.6]		sp|P9WGD4|SSB_MYCTO	Xu	sp|P9WGD4|SSB_MYCTO Single-stranded DNA-binding protein; Xu	0								1	4	False	F
host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2_7	host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2	host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2	7	6326	6640	1	E																		0								2	4	False	F
host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2_8	host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2	host__NZ_CP028568_2_Aeromonas_hydrophila_subsp__hydrophila_strain_WCHAH045096_chromosome__complete_genome_0_5022876_0_1195268_380259_387192_49__full-cat_2	8	6786	6932	1	C		ahy:AHML_20925  csgAB operon transcriptional regulatory protein	False	0.917	96.0	5.937e-23												0								2	5	False	F
host__NZ_CP028609_1_Escherichia_coli_strain_142_chromosome__complete_genome_2509950_2700077_0_190127_79802_81884_12__full-cat_2_1	host__NZ_CP028609_1_Escherichia_coli_strain_142_chromosome__complete_genome_2509950_2700077_0_190127_79802_81884_12__full-cat_2	host__NZ_CP028609_1_Escherichia_coli_strain_142_chromosome__complete_genome_2509950_2700077_0_190127_79802_81884_12__full-cat_2	1	2	82	1	E																		0								2	5	False	F
host__NZ_CP028609_1_Escherichia_coli_strain_142_chromosome__complete_genome_2509950_2700077_0_190127_79802_81884_12__full-cat_2_2	host__NZ_CP028609_1_Escherichia_coli_strain_142_chromosome__complete_genome_2509950_2700077_0_190127_79802_81884_12__full-cat_2	host__NZ_CP028609_1_Escherichia_coli_strain_142_chromosome__complete_genome_2509950_2700077_0_190127_79802_81884_12__full-cat_2	2	79	1065	1	A	K02031	ecf:ECH74115_2096  ABC transporter ATP-binding protein; K02031 peptide/nickel transport system ATP-binding protein	True	0.973	674.0	8.116e-218	YP_004957306.1	YP_004957306.1 unnamed protein product [Planktothrix phage PaV-LD]	False	0.286	101.0	7.208999999999999e-22	ABC transporter [PF00005.27]; Oligopeptide/dipeptide transporter, C-terminal region [PF08352.12]					0								1	4	False	MF
host__NZ_CP028609_1_Escherichia_coli_strain_142_chromosome__complete_genome_2509950_2700077_0_190127_79802_81884_12__full-cat_2_3	host__NZ_CP028609_1_Escherichia_coli_strain_142_chromosome__complete_genome_2509950_2700077_0_190127_79802_81884_12__full-cat_2	host__NZ_CP028609_1_Escherichia_coli_strain_142_chromosome__complete_genome_2509950_2700077_0_190127_79802_81884_12__full-cat_2	3	1058	1984	1	A	K02032	ecf:ECH74115_2095  ABC transporter ATP-binding protein; K02032 peptide/nickel transport system ATP-binding protein	True	0.959	623.0	1.441e-200	YP_009015548.1	YP_009015548.1 gp245 [Bacillus virus G]	False	0.279	82.0	6.184e-16	ABC transporter [PF00005.27]; Oligopeptide/dipeptide transporter, C-terminal region [PF08352.12]					0								1	5	False	MF
host__NZ_CP029189_1_Streptomyces_venezuelae_strain_ATCC_21018_chromosome__complete_genome_0_7746267_0_7008000_0_2727_1__full-cat_1_1	host__NZ_CP029189_1_Streptomyces_venezuelae_strain_ATCC_21018_chromosome__complete_genome_0_7746267_0_7008000_0_2727_1__full-cat_1	host__NZ_CP029189_1_Streptomyces_venezuelae_strain_ATCC_21018_chromosome__complete_genome_0_7746267_0_7008000_0_2727_1__full-cat_1	1	416	2098	1	A		sfi:SFUL_2360  Glycosyltransferase, probably involved in cell wall biogenesis	True	0.872	1034.0	0.0	NP_048829.1	NP_048829.1 hypothetical protein [Paramecium bursaria Chlorella virus 1]	False	0.377	274.0	1.83e-77	Glycosyl transferase family group 2 [PF13632.6]; Glycosyltransferase like family 2 [PF13641.6]; Glycosyl transferase family 21 [PF13506.6]; Cellulose synthase [PF03552.14]; Glycosyl transferase family 2 [PF00535.26]	GT21 UDP-Glc: ceramide beta-glucosyltransferase (EC 2.4.1.80). [GT21]; GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289) [GT2_Glycos_transf_2]; GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289) [GT2_Glyco_tranf_2_3]; GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289) [GT2_Glyco_trans_2_3]	REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0								2	5	False	MF
host__NZ_CP029189_1_Streptomyces_venezuelae_strain_ATCC_21018_chromosome__complete_genome_0_7746267_0_7008000_0_2727_1__full-cat_1_2	host__NZ_CP029189_1_Streptomyces_venezuelae_strain_ATCC_21018_chromosome__complete_genome_0_7746267_0_7008000_0_2727_1__full-cat_1	host__NZ_CP029189_1_Streptomyces_venezuelae_strain_ATCC_21018_chromosome__complete_genome_0_7746267_0_7008000_0_2727_1__full-cat_1	2	2113	2727	1	C		sfi:SFUL_2361  Acyltransferase 3	False	0.776	327.0	1.015e-99	YP_009276557.1	YP_009276557.1 O-acetyltransferase domain protein [Gordonia phage BritBrat]	False	0.468	139.0	2.942e-36	Acyltransferase family [PF01757.22]					0								0	5	False	F
host__NZ_CP030219_1_Salmonella_enterica_strain_SA20021456_chromosome__complete_genome_679501_1510038_375965_830537_3682_5762_2__full-cat_2_1	host__NZ_CP030219_1_Salmonella_enterica_strain_SA20021456_chromosome__complete_genome_679501_1510038_375965_830537_3682_5762_2__full-cat_2	host__NZ_CP030219_1_Salmonella_enterica_strain_SA20021456_chromosome__complete_genome_679501_1510038_375965_830537_3682_5762_2__full-cat_2	1	92	787	-1	C		ppx:T1E_4846  hypothetical protein	False	0.461	188.0	2.378e-51												0								2	5	False	F
host__NZ_CP030219_1_Salmonella_enterica_strain_SA20021456_chromosome__complete_genome_679501_1510038_375965_830537_3682_5762_2__full-cat_2_2	host__NZ_CP030219_1_Salmonella_enterica_strain_SA20021456_chromosome__complete_genome_679501_1510038_375965_830537_3682_5762_2__full-cat_2	host__NZ_CP030219_1_Salmonella_enterica_strain_SA20021456_chromosome__complete_genome_679501_1510038_375965_830537_3682_5762_2__full-cat_2	2	800	2047	-1	C		sho:SHJGH_0140  3-oxoacyl-(acyl carrier protein) synthase III	False	0.467	339.0	4.38e-100							Beta-ketoacyl synthase, N-terminal domain [PF00109.26]; Beta-ketoacyl synthase, C-terminal domain [PF02801.22]					0								1	5	False	MKF
host__NZ_CP030240_1_Escherichia_coli_strain_ER1709_chromosome__complete_genome_3774798_4582842_465608_808044_0_5577_1__full_1-cat_1_1	host__NZ_CP030240_1_Escherichia_coli_strain_ER1709_chromosome__complete_genome_3774798_4582842_465608_808044_0_5577_1__full_1-cat_1	host__NZ_CP030240_1_Escherichia_coli_strain_ER1709_chromosome__complete_genome_3774798_4582842_465608_808044_0_5577_1__full_1-cat_1	1	175	1389	-1	A		eco:b2043  wcaM; colanic acid biosynthesis protein	True	0.971	828.0	1.213e-269	YP_009012482.1	YP_009012482.1 Phi92_gp150 [Enterobacteria phage phi92]	False	0.329	105.0	9.305e-23			REFSEQ	Xu	REFSEQ colanic acid-degrading protein; Xu	0								0	5	False	F
host__NZ_CP031551_1_Pasteurella_multocida_strain_PM8_1_chromosome__complete_genome_892500_1606352_0_194661_0_2085_1__lt2gene-cat_1_1	host__NZ_CP031551_1_Pasteurella_multocida_strain_PM8_1_chromosome__complete_genome_892500_1606352_0_194661_0_2085_1__lt2gene-cat_1	host__NZ_CP031551_1_Pasteurella_multocida_strain_PM8_1_chromosome__complete_genome_892500_1606352_0_194661_0_2085_1__lt2gene-cat_1	1	1	561	1	A		hif:HIBPF04806  phage tail protein	True	0.955	376.0	4.507e-117	YP_001111225.1	YP_001111225.1 gp25, tail fiber [Burkholderia virus phiE255]	False	0.477	167.0	2.159e-46	Phage tail protein (Tail_P2_I) [PF09684.10]					0								0	5	False	F
host__NZ_CP031551_1_Pasteurella_multocida_strain_PM8_1_chromosome__complete_genome_892500_1606352_0_194661_0_2085_1__lt2gene-cat_1_2	host__NZ_CP031551_1_Pasteurella_multocida_strain_PM8_1_chromosome__complete_genome_892500_1606352_0_194661_0_2085_1__lt2gene-cat_1	host__NZ_CP031551_1_Pasteurella_multocida_strain_PM8_1_chromosome__complete_genome_892500_1606352_0_194661_0_2085_1__lt2gene-cat_1	2	592	2085	1	C		hif:HIBPF04805  tail fiber protein	False	0.803	228.0	5.193e-61	YP_654749.1	YP_654749.1 hypothetical protein F108p38 [Pasteurella virus F108]	True	0.693	383.0	1.449e-115	Phage tail fibre repeat [PF03406.13]		REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0								0	5	False	F
